InventoryCategory,InventoryCategoryLabel
8,8 - CANDY
5,5 - WINE
14,14 - PACKAGED BREAD
10,10 - OTHER DAIRY
20,20 - NON EDIBLE GROCERY
12,12 - ICE CREAM NOVELTIES
30,30 - HOT DISPENSED BEV
9,9 - FLUID MILK
17,17 - ALTERNATIVE SNACKS
31,31 - COLD DISPENSED BEV
32,32 - FROZEN DISPENSED BEV
2,2 - CIGARETTES
7,7 - PACKAGED BEVERAGE
28,28 - ICE
15,15 - SALTY SNACKS
24,24 - AUTOMOTIVE
3,3 - OTHER TOBACCO
19,19 - EDIBLE GROCERY
21,21 - HBC
23,23 - PUBLICATIONS
4,4 - BEER
16,16 - PACKAGED SWEET SNACK
11,11 - COMMISSARY PK PROD
13,13 - FROZEN FOODS
22,22 - GENERAL MERCHANDISE
